CODICESCUOLA,CONTESTOSENZADISTURBI,VICINANZADISCARICA,VICINANZAINDUSTRIEINQUINANTI,VICINANZAACQUEINQUINANTI,VICINANZAFONTIINQUINAMENTOATMOSFERICO,VICINANZAFONTIINQUINAMENTOACUSTICO,VICINANZASORGENTIRADIAZIONIELETTROMAGNETICHE,VICINANZACIMITERI,VICINANZAALTRIDISTURBI,CRITICITASPECIFICHEAREASCOLASTICA,ASSENZAPIAZZOLAADEGUATA,AREANONRECINTATA,PRESENZAGRANDETRAFFICO,PRESENZATRANSITOFERROVIARIO,PREESISTENZEINDUSTRIALIABBANDONATE,ZONAURBANADEGRADATA,VICINANZAINDUSTRIEARISCHIO,ANNORILEVAZIONE
AO1E008020,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
SARH02101R,SI,NO,NO,NO,NO,NO,NO,NO,_,SI,NO,NO,NO,NO,NO,NO,NO,2022-2023
BRTD01101P,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
CRAA81201T,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
NARH04101G,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
VEEE85302B,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
CTPS10000Q,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
FRMM82901T,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
TOAA8B401R,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
NAAA8EE045,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
AGMM855015,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
POEE81901X,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
PVEE83403C,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
LURF001011,SI,NO,NO,NO,NO,SI,NO,NO,_,SI,NO,NO,SI,NO,NO,NO,NO,2022-2023
TVEE820057,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
PEPS011019,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
FIEE87503A,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
MERI02701X,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
VIEE864025,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,SI,SI,SI,NO,NO,NO,NO,2022-2023
TVMM86501G,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
RMAA8DF027,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
TPMM81701Q,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
CRRI008015,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,_,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,2022-2023
CEIC87800X,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,2022-2023
RIIS007008,SI,NO,SI,NO,NO,NO,NO,NO,_,SI,NO,NO,NO,NO,NO,NO,NO,2022-2023
