Tipo Istituto,Codice,Denominazione,Indirizzo,CAP,Comune,E-mail,Telefono
DIREZIONE DIDATTICA,AGEE01100C,CD - DON BOSCO,VIA PIRANDELLO,92024,CANICATTI',AGEE01100C@istruzione.it,0922851177
DIREZIONE DIDATTICA,AGEE034005,DD I CIRCOLO - GIOVANNI XXIII,"VIA G. LICATA, 18",92019,SCIACCA,AGEE034005@istruzione.it,092524544
DIREZIONE DIDATTICA,AGEE035001,DD II CIRCOLO - S.AGOSTINO,VIALE DELLA VITTORIA,92019,SCIACCA,AGEE035001@istruzione.it,092521061
ISTITUTO COMPRENSIVO,AGIC805003,IC - G. GALILEI,VIA VENEZUELA,92015,RAFFADALI,AGIC805003@istruzione.it,092239141
ISTITUTO COMPRENSIVO,AGIC80800E,IC - G.T. LAMPEDUSA,VIA PORDENONE,92018,SANTA MARGHERITA DI BELICE,AGIC80800E@istruzione.it,092531260
ISTITUTO COMPRENSIVO,AGIC81000E,IC - L. PIRANDELLO,VIA ENNA,92010,LAMPEDUSA E LINOSA,AGIC81000E@istruzione.it,0922970439
ISTITUTO COMPRENSIVO,AGIC812006,IC - A. MANZONI,"VIA PORTELLA,1",92010,ALESSANDRIA DELLA ROCCA,AGIC812006@istruzione.it,0922981041
ISTITUTO COMPRENSIVO,AGIC813002,IC - MAESTRO L. PANEPINTO,"VIA LIBERO ATTARDI, 29",92020,SANTO STEFANO QUISQUINA,AGIC813002@istruzione.it,0922982088
ISTITUTO COMPRENSIVO,AGIC81500N,IC - GANGITANO,"VIA PIRANDELLO,1",92024,CANICATTI',AGIC81500N@istruzione.it,0922851506
ISTITUTO COMPRENSIVO,AGIC817009,IC - F. FELICE DA SAMBUCA,"VIA E. BERLINGUER, 40",92017,SAMBUCA DI SICILIA,AGIC817009@istruzione.it,0925941151
ISTITUTO COMPRENSIVO,AGIC818005,IC - GIOVANNI PHILIPPONE,"VIA SACRAMENTO, 106",92020,SAN GIOVANNI GEMINI,AGIC818005@istruzione.it,0922903041
ISTITUTO COMPRENSIVO,AGIC819001,IC - G. GARIBALDI,"VIA PORTELLA GINESTRA, 12",92010,REALMONTE,AGIC819001@istruzione.it,0922816434
ISTITUTO COMPRENSIVO,AGIC820005,IC - ANNA FRANK,VIA MATTEO CIMARRA 5/A,92100,AGRIGENTO,AGIC820005@istruzione.it,0922603198
ISTITUTO COMPRENSIVO,AGIC821001,IC - AGRIGENTO CENTRO,"VIALE DELLA VITTORIA, 5",92100,AGRIGENTO,AGIC821001@istruzione.it,092220786
ISTITUTO COMPRENSIVO,AGIC82200R,IC - ESSENETO,"VIA MANZONI, 219",92100,AGRIGENTO,AGIC82200R@istruzione.it,092222988
ISTITUTO COMPRENSIVO,AGIC82400C,IC - S. QUASIMODO,"VIA AMARI, 4",92100,AGRIGENTO,AGIC82400C@istruzione.it,0922597521
ISTITUTO COMPRENSIVO,AGIC826004,IC - A.G. RONCALLI,VIA LEONE 11,92010,BURGIO,AGIC826004@istruzione.it,092564229
ISTITUTO COMPRENSIVO,AGIC82700X,IC - GIOVANNI XXIII,LARGO DEI PINI S.N.,92022,CAMMARATA,AGIC82700X@istruzione.it,0922909106
ISTITUTO COMPRENSIVO,AGIC82800Q,IC - S.G. BOSCO,VIA GE. CASCINO 128,92023,CAMPOBELLO DI LICATA,AGIC82800Q@istruzione.it,0922877036
ISTITUTO COMPRENSIVO,AGIC82900G,IC - MARIO RAPISARDI,VIA TRIESTE SN,92024,CANICATTI',AGIC82900G@istruzione.it,0922851270
ISTITUTO COMPRENSIVO,AGIC83000Q,IC - G.VERGA,"VIA VERGA, 1",92024,CANICATTI',AGIC83000Q@istruzione.it,0922851014
ISTITUTO COMPRENSIVO,AGIC83100G,IC - V. BRANCATI,VIA GROTTE,92026,FAVARA,AGIC83100G@istruzione.it,092231248
ISTITUTO COMPRENSIVO,AGIC83200B,IC - A. RONCALLI,VIA ACQUANOVA SNC,92020,GROTTE,AGIC83200B@istruzione.it,0922943313
ISTITUTO COMPRENSIVO,AGIC833007,IC - GIACOMO LEOPARDI,VIA A. LICATA S.N.C.,92027,LICATA,AGIC833007@istruzione.it,0922892766
ISTITUTO COMPRENSIVO,AGIC834003,IC - G. MARCONI,VIA EGITTO,92027,LICATA,AGIC834003@istruzione.it,0922773044
ISTITUTO COMPRENSIVO,AGIC83600P,IC - S. BIVONA,C/DA SOCCORSO,92013,MENFI,AGIC83600P@istruzione.it,092571895
ISTITUTO COMPRENSIVO,AGIC83800A,IC - F.E. CANGIAMILA,CORSA BRANCATELLO,92020,PALMA DI MONTECHIARO,AGIC83800A@istruzione.it,0922962749
ISTITUTO COMPRENSIVO,AGIC84000A,IC -L. PIRANDELLO,"VIA MOLO, 2",92014,PORTO EMPEDOCLE,AGIC84000A@istruzione.it,0922535371
ISTITUTO COMPRENSIVO,AGIC841006,IC - A. MANZONI,VIA TINTORIA,92029,RAVANUSA,AGIC841006@istruzione.it,09221802315
ISTITUTO COMPRENSIVO,AGIC84400N,IC - DANTE ALIGHIERI,"VIA MODIGLIANI, 43",92019,SCIACCA,AGIC84400N@istruzione.it,092521476
