CodiceScuola,Alunni,Hand,Classi,annoScolastico
RGEE832016,289,6,14,2021-2022
RGEE832027,172,6,9,2021-2022
CTEE85504P,225,8,12,2021-2022
CTEE816011,117,10,7,2021-2022
CTEE816022,88,8,5,2021-2022
CTEE816055,124,6,7,2021-2022
CTEE816066,70,5,5,2021-2022
CTEE816077,55,8,4,2021-2022
CTEE036017,256,21,13,2021-2022
CTEE03605B,155,21,10,2021-2022
CTEE814019,279,17,14,2021-2022
CTEE81402A,103,1,6,2021-2022
CTEE81403B,174,6,9,2021-2022
CTEE815015,176,23,10,2021-2022
CTEE815026,31,2,2,2021-2022
CTEE8AR01C,167,10,8,2021-2022
CTEE8AR04G,49,4,3,2021-2022
CTEE8AR06N,34,3,2,2021-2022
CTEE8AR07P,90,5,5,2021-2022
CTEE8AR08Q,44,2,2,2021-2022
CTEE8AR09R,84,3,4,2021-2022
CTEE8AS01N,228,7,11,2021-2022
CTEE8AS02P,72,3,5,2021-2022
CTEE81801L,257,18,13,2021-2022
CTEE81901C,52,7,4,2021-2022
CTEE81902D,112,9,7,2021-2022
CTEE81903E,25,0,2,2021-2022
CTEE81904G,68,5,4,2021-2022
CTEE81905L,38,2,3,2021-2022
CTEE830017,103,3,6,2021-2022
CTEE830028,180,10,10,2021-2022
CTEE830039,207,10,11,2021-2022
CTEE8AT01D,143,13,9,2021-2022
CTEE8AT02E,204,14,10,2021-2022
CTEE8AT03G,63,6,5,2021-2022
CTEE8AU019,42,3,3,2021-2022
CTEE8AU02A,79,2,5,2021-2022
CTEE8AU03B,95,6,5,2021-2022
CTEE8AU04C,55,6,5,2021-2022
CTEE8AU05D,95,3,6,2021-2022
CTEE8AU06E,29,2,2,2021-2022
CTEE8AV026,338,17,18,2021-2022
CLEE81903D,9,3,1,2021-2022
MEEE82601A,194,8,11,2021-2022
CTEE04201E,466,24,21,2021-2022
CTEE04301A,358,27,19,2021-2022
CTEE09001X,467,14,22,2021-2022
CTEE8A101T,212,11,11,2021-2022
CTEE8A201N,313,37,17,2021-2022
ENEE81901Q,38,6,3,2021-2022
ENEE81902R,61,8,4,2021-2022
ENEE81903T,229,13,13,2021-2022
AGEE820017,99,2,6,2021-2022
AGEE820028,102,0,7,2021-2022
AGEE820039,11,0,1,2021-2022
AGEE82004A,49,1,4,2021-2022
AGEE82005B,160,6,9,2021-2022
AGEE82006C,61,2,4,2021-2022
AGEE821013,162,5,9,2021-2022
AGEE821024,220,13,13,2021-2022
AGEE82202X,400,9,20,2021-2022
AGEE82402G,77,6,5,2021-2022
AGEE82405P,120,5,7,2021-2022
AGEE82406Q,102,6,7,2021-2022
AGEE82408T,47,0,4,2021-2022
AGEE855016,114,3,7,2021-2022
AGEE855027,218,8,10,2021-2022
AGEE855038,143,2,8,2021-2022
AGEE855049,122,3,6,2021-2022
ENEE826042,71,0,5,2021-2022
ENEE826053,59,3,4,2021-2022
TPEE01201P,327,18,17,2021-2022
TPEE01202Q,230,6,12,2021-2022
TPEE810012,219,15,13,2021-2022
TPEE81101T,111,13,7,2021-2022
TPEE81102V,280,8,14,2021-2022
TPEE81201N,174,14,11,2021-2022
TPEE81202P,41,3,3,2021-2022
TPEE81203Q,190,11,12,2021-2022
TPEE83401E,297,11,15,2021-2022
MEEE88505A,51,2,4,2021-2022
AGEE812018,74,3,5,2021-2022
MEEE83702T,26,1,2,2021-2022
MEEE83701R,89,6,6,2021-2022
PAEE82801Q,133,7,8,2021-2022
PAEE82006A,56,4,4,2021-2022
PAEE825029,33,2,3,2021-2022
PAEE81101A,310,16,18,2021-2022
PAEE84301T,136,5,9,2021-2022
PAEE84302V,291,7,16,2021-2022
MEEE88904L,33,1,2,2021-2022
AGEE84602C,78,2,5,2021-2022
AGEE84603D,90,2,6,2021-2022
AGEE84604E,226,4,15,2021-2022
ENEE80501T,125,6,9,2021-2022
ENEE80502V,26,0,2,2021-2022
SREE81401D,297,10,15,2021-2022
SREE81403G,64,0,4,2021-2022
SREE83001B,230,8,13,2021-2022
SREE83002C,82,7,5,2021-2022
SREE831017,303,15,15,2021-2022
SREE837016,84,5,5,2021-2022
SREE837038,198,11,11,2021-2022
SREE837049,81,8,5,2021-2022
SREE01301P,450,10,21,2021-2022
SREE01303R,176,6,10,2021-2022
SREE83301V,121,9,7,2021-2022
SREE83302X,83,5,5,2021-2022
SREE833031,156,11,9,2021-2022
SREE83401P,62,7,4,2021-2022
SREE83402Q,306,27,16,2021-2022
PAEE054019,473,36,25,2021-2022
PAEE055037,579,20,29,2021-2022
PAEE055048,30,2,2,2021-2022
PAEE10201D,129,10,6,2021-2022
PAEE10206P,346,21,19,2021-2022
PAEE83601P,415,25,23,2021-2022
PAEE84901R,123,8,7,2021-2022
PAEE84902T,75,5,4,2021-2022
PAEE84903V,218,20,13,2021-2022
PAEE86501P,121,5,9,2021-2022
PAEE8BA011,85,9,5,2021-2022
PAEE8BA022,243,23,13,2021-2022
PAEE83702G,131,8,8,2021-2022
PAEE83703L,121,3,7,2021-2022
MEEE82402Q,78,6,5,2021-2022
MEEE82503L,86,4,7,2021-2022
MEEE82504N,54,2,5,2021-2022
MEEE82505P,130,7,7,2021-2022
MEEE827016,131,6,9,2021-2022
MEEE82706B,178,12,12,2021-2022
MEEE88102X,271,20,17,2021-2022
MEEE881042,29,1,2,2021-2022
MEEE898018,205,8,11,2021-2022
MEEE898029,37,1,3,2021-2022
