Tipo Istituto,CodiceScuola,Denominazione,Indirizzo,CAP,Comune,E-mail,Telefono,Alunni,Hand,Classi,annoScolastico,Latitude,Longitude
SCUOLA PRIMO GRADO,AGMM054009,SMS - A. INVEGES,"VIA A. DE GASPERI, 8/A",92019,SCIACCA,AGMM054009@istruzione.it,92521331.0,520,15,26,2021-2022,,
LICEO CLASSICO,AGPC010001,LICEO CLASSICO - EMPEDOCLE,VIA EMPEDOCLE 169,92100,AGRIGENTO,AGPC010001@istruzione.it,92220335.0,1073,3,46,2021-2022,37.505191,13.2725832
LICEO CLASSICO,AGPC060002,LICEO CLASSICO - VINCENZO LINARES,"VIA PROF. S. MALFITANO, 2",92027,LICATA,AGPC060002@istruzione.it,922772266.0,631,7,32,2021-2022,,
ISTITUTO MAGISTRALE,AGPM02000Q,LICEO STATALE - MARTIN LUTHER KING,VIALE PIETRO NENNI 136,92026,FAVARA,AGPM02000Q@istruzione.it,92232516.0,871,15,40,2021-2022,,
ISTITUTO MAGISTRALE,AGPM03000A,LICEO SCIENTIFICO E SCIENZE UMANE POLITI,VIA ACRONE 12,92100,AGRIGENTO,AGPM03000A@istruzione.it,92220535.0,1625,19,69,2021-2022,37.3084633,13.5841517
LICEO SCIENTIFICO,AGPS02000P,LICEO SCIENTIFICO - ENRICO FERMI,VIA PARMA N. 1,92019,SCIACCA,AGPS02000P@istruzione.it,92585103.0,1152,6,50,2021-2022,37.5132456,13.0670016
LICEO SCIENTIFICO,AGPS030009,LICEO SCIENTIFICO - LEONARDO,VIALE DELLA VITTORIA,92100,AGRIGENTO,AGPS030009@istruzione.it,92229990.0,1227,0,54,2021-2022,37.5083292,13.5252315
IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE,AGRH02000C,IPSSAR - G. AMBROSINI,VIA CHE GUEVARA,92026,FAVARA,AGRH02000C@istruzione.it,922429331.0,446,15,20,2021-2022,,
ISTITUTO TECNICO COMMERCIALE,AGTD09000R,I.T.E.T. LEONARDO SCIASCIA,VIA RICCARDO QUARTARARO S.N.C.,92100,AGRIGENTO,AGTD09000R@istruzione.it,922619319.0,732,3,36,2021-2022,,
SCUOLA PRIMO GRADO,CLMM02400T,S.M.  GIOVANNI VERGA - NISCEMI,"VIALE MARIO GORI, SNC",93015,NISCEMI,CLMM02400T@istruzione.it,933953069.0,484,14,25,2021-2022,,
SCUOLA PRIMO GRADO,CLMM029001,S.M. G. CARDUCCI - SAN CATALDO,"VIALE INDIPENDENZA, 24",93017,SAN CATALDO,CLMM029001@istruzione.it,934586261.0,680,47,32,2021-2022,,
LICEO CLASSICO,CLPC02000X,"LICEO CLASSICO E LINGUIST. ""R. SETTIMO""",VIA ROSSO DI SAN SECONDO,93100,CALTANISSETTA,CLPC02000X@istruzione.it,93421600.0,729,7,35,2021-2022,37.2783456,14.0840664
LICEO SCIENTIFICO,CLPS03000N,LICEO SCIENTIFICO- LINGUISTICO VITTORINI,VIA PITAGORA S.N.C.,93012,GELA,CLPS03000N@istruzione.it,933930594.0,1118,13,50,2021-2022,,
IST PROF INDUSTRIA E ARTIGIANATO,CLRI01000N,IST PROF INDUST  SERVIZI GALILEO GALILEI,"VIA FRA F. GIARRATANA,1",93100,CALTANISSETTA,CLRI01000N@istruzione.it,93425449.0,613,36,30,2021-2022,,
IST TEC COMMERCIALE E PER GEOMETRI,CLTD090005,"ITET ""RAPISARDI- DA VINCI""","VIALE REGINA MARGHERITA, 27",93100,CALTANISSETTA,CLTD090005@istruzione.it,93425377.0,700,21,36,2021-2022,37.48168295,14.05807097707087
ISTITUTO TECNICO INDUSTRIALE,CLTF020005,"SETTORE TECNOLOGICO ""E. MORSELLI""",VIA PITAGORA,93012,GELA,CLTF020005@istruzione.it,933930997.0,653,15,33,2021-2022,37.07751,14.2249011
SCUOLA PRIMO GRADO,CTMM00300T,SMS Q.MAIORANA - CATANIA,"VIA CESARE BECCARIA, 87",95123,CATANIA,CTMM00300T@istruzione.it,95448275.0,701,30,34,2021-2022,37.516007,15.0793085
SCUOLA PRIMO GRADO,CTMM029002,SMS D.ALIGHIERI - CATANIA,VIA CAGLIARI 59,95127,CATANIA,CTMM029002@istruzione.it,95438306.0,580,16,28,2021-2022,37.521124,15.0934009
