ANNOSCOLASTICO,CODICESCUOLA,CODICEEDIFICIO,CONTESTOSENZADISTURBI,VICINANZADISCARICA,VICINANZAINDUSTRIEINQUINANTI,VICINANZAACQUEINQUINANTI,VICINANZAFONTIINQUINAMENTOATMOSFERICO,VICINANZAFONTIINQUINAMENTOACUSTICO,VICINANZASORGENTIRADIAZIONIELETTROMAGNETICHE,VICINANZACIMITERI,VICINANZAALTRIDISTURBI,CRITICITASPECIFICHEAREASCOLASTICA,ASSENZAPIAZZOLAADEGUATA,AREANONRECINTATA,PRESENZAGRANDETRAFFICO,PRESENZATRANSITOFERROVIARIO,PREESISTENZEINDUSTRIALIABBANDONATE,ZONAURBANADEGRADATA,VICINANZAINDUSTRIEARISCHIO,ALTRECRITICITASPECIFICHE
202223,AO1E008020,0070634600,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,SARH02101R,0651290505,SI,NO,NO,NO,NO,NO,NO,NO,_,SI,NO,NO,NO,NO,NO,NO,NO,_
202223,BRTD01101P,0740101664,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,CRAA81201T,0190780082,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,NARH04101G,0630830017,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,VEEE85302B,0270082377,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,CTPS10000Q,0870412892,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,FRMM82901T,0600100292,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,TOAA8B401R,0012720025,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,NAAA8EE045,0630030116,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,AGMM855015,0840010090,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,POEE81901X,1000050081,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,PVEE83403C,0180600086,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,LURF001011,0460175105,SI,NO,NO,NO,NO,SI,NO,NO,_,SI,NO,NO,SI,NO,NO,NO,NO,_
202223,TVEE820057,0260892315,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,PEPS011019,0680270498,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,FIEE87503A,0480040007,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,MERI02701X,0830480869,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,VIEE864025,0240211773,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,SI,SI,SI,NO,NO,NO,NO,_
202223,TVMM86501G,0260963805,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,RMAA8DF027,0580070145,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,TPMM81701Q,0810112773,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,CRRI008015,0190363200,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,_,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,NON DEFINITO,_
202223,CEIC87800X,0610272082,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,RIIS007008,0570590235,SI,NO,SI,NO,NO,NO,NO,NO,_,SI,NO,NO,NO,NO,NO,NO,NO,_
202223,CHAA809024,0690590139,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,LTEE838019,0590050043,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,VETN01601N,0270423819,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,APIC83700A,1090340204,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,TRAA82004Q,0550220056,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,NAAA103028,0630020096,SI,NO,NO,NO,NO,NO,NO,NO,_,SI,NO,NO,NO,NO,NO,NO,NO,_
202223,PAMM84901Q,0820064967,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,AQMM83902P,0660570320,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,MSEE823012,0450100092,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,MSEE816064,0450070010,NO,NO,NO,NO,NO,NO,NO,NO,_,SI,NO,SI,NO,NO,NO,NO,NO,_
202223,FIMM81401Q,0480130003,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,MEMM81604T,0830283485,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,FREE85201X,0600560178,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,TVMM817038,0260781395,SI,NO,NO,NO,NO,NO,SI,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,AQEE026104,0660670496,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,MTAA82601B,0770140014,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,FITD00301P,0480190018,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,CLIC82900X,0850130960,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,PITE003011,0500260325,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
202223,LESD03302X,0750590531,NO,NO,NO,NO,NO,NO,NO,NO,_,NO,NO,NO,NO,NO,NO,NO,NO,_
