"
Ministero dell'Istruzione - Ufficio Scolastico Regionale per la Sicilia
ISTITUZIONI SCOLASTICHE AUTONOME A.S. 2021/2022";;;;;;;;;;;
Provincia;Tipo Istituto;Codice;Denominazione;Indirizzo;CAP;Distretto;Comune;E-mail;PEC;Telefono;Codice fiscale
Agrigento;DIREZIONE DIDATTICA;AGEE01100C;CD - DON BOSCO;VIA PIRANDELLO;92024;007;CANICATTI';AGEE01100C@istruzione.it;AGEE01100C@pec.istruzione.it;0922851177;82002190849
Agrigento;DIREZIONE DIDATTICA;AGEE034005;DD I CIRCOLO - GIOVANNI XXIII;VIA G. LICATA, 18;92019;001;SCIACCA;AGEE034005@istruzione.it;AGEE034005@pec.istruzione.it;092524544;83001290846
Agrigento;DIREZIONE DIDATTICA;AGEE035001;DD II CIRCOLO - S.AGOSTINO;VIALE DELLA VITTORIA;92019;001;SCIACCA;AGEE035001@istruzione.it;AGEE035001@pec.istruzione.it;092521061;83001830849
Agrigento;ISTITUTO COMPRENSIVO;AGIC805003;IC - G. GALILEI;VIA VENEZUELA;92015;004;RAFFADALI;AGIC805003@istruzione.it;AGIC805003@pec.istruzione.it;092239141;80006750840
Agrigento;ISTITUTO COMPRENSIVO;AGIC80800E;IC - G.T. LAMPEDUSA;VIA PORDENONE;92018;065;SANTA MARGHERITA DI BELICE;AGIC80800E@istruzione.it;AGIC80800E@pec.istruzione.it;092531260;92010670849
Agrigento;ISTITUTO COMPRENSIVO;AGIC81000E;IC - L. PIRANDELLO;VIA        ENNA;92010;005;LAMPEDUSA E LINOSA;AGIC81000E@istruzione.it;AGIC81000E@pec.istruzione.it;0922970439;80006700845
Agrigento;ISTITUTO COMPRENSIVO;AGIC812006;IC - A. MANZONI;VIA        PORTELLA,1;92010;003;ALESSANDRIA DELLA ROCCA;AGIC812006@istruzione.it;AGIC812006@pec.istruzione.it;0922981041;80004930840
Agrigento;ISTITUTO COMPRENSIVO;AGIC813002;IC - MAESTRO L. PANEPINTO;VIA LIBERO ATTARDI, 29;92020;003;SANTO STEFANO QUISQUINA;AGIC813002@istruzione.it;AGIC813002@pec.istruzione.it;0922982088;80004290849
Agrigento;ISTITUTO COMPRENSIVO;AGIC81500N;IC - GANGITANO;VIA PIRANDELLO,1;92024;007;CANICATTI';AGIC81500N@istruzione.it;AGIC81500N@pec.istruzione.it;0922851506;90001550848
Agrigento;ISTITUTO COMPRENSIVO;AGIC817009;IC - F. FELICE DA SAMBUCA;VIA E. BERLINGUER, 40;92017;001;SAMBUCA DI SICILIA;AGIC817009@istruzione.it;AGIC817009@pec.istruzione.it;0925941151;92010550843
Agrigento;ISTITUTO COMPRENSIVO;AGIC818005;IC - GIOVANNI PHILIPPONE;VIA SACRAMENTO, 106;92020;008;SAN GIOVANNI GEMINI;AGIC818005@istruzione.it;AGIC818005@pec.istruzione.it;0922903041;93019650840
Agrigento;ISTITUTO COMPRENSIVO;AGIC819001;IC - G. GARIBALDI;VIA PORTELLA GINESTRA, 12;92010;005;REALMONTE;AGIC819001@istruzione.it;AGIC819001@pec.istruzione.it;0922816434;80004670842
Agrigento;ISTITUTO COMPRENSIVO;AGIC820005;IC - ANNA FRANK;VIA MATTEO CIMARRA 5/A;92100;005;AGRIGENTO;AGIC820005@istruzione.it;AGIC820005@pec.istruzione.it;0922603198;80004590842
Agrigento;ISTITUTO COMPRENSIVO;AGIC821001;IC - AGRIGENTO CENTRO;VIALE DELLA VITTORIA, 5;92100;005;AGRIGENTO;AGIC821001@istruzione.it;AGIC821001@pec.istruzione.it;092220786;93062650846
Agrigento;ISTITUTO COMPRENSIVO;AGIC82200R;IC - ESSENETO;VIA   MANZONI, 219;92100;005;AGRIGENTO;AGIC82200R@istruzione.it;AGIC82200R@pec.istruzione.it;092222988;93062670844
Agrigento;ISTITUTO COMPRENSIVO;AGIC82400C;IC - S. QUASIMODO;VIA AMARI, 4;92100;005;AGRIGENTO;AGIC82400C@istruzione.it;AGIC82400C@pec.istruzione.it;0922597521;80005350840
Agrigento;ISTITUTO COMPRENSIVO;AGIC826004;IC - A.G. RONCALLI;VIA        LEONE 11;92010;002;BURGIO;AGIC826004@istruzione.it;AGIC826004@pec.istruzione.it;092564229;92011500847
