"CodComune";"Comune";"Provincia";"TipoIstituto";"CodiceScuola";"Denominazione";"CodiceIstituto";"DenominazioneIstituto";"Alunni";"Hand";"Classi";"Ciclo";"annoScolastico";"ComuneIstituto";"CodComuneIstituto"
"088001";"ACATE";"RAGUSA";;"RGEE832016";"ACATE CENTRALE";"RGIC832004";"CAP. PUGLISI";"289";"6";"14";"Primario";"2021-2022";"ACATE";"088001"
"088001";"ACATE";"RAGUSA";;"RGEE832027";"C. ADDARIO";"RGIC832004";"CAP. PUGLISI";"172";"6";"9";"Primario";"2021-2022";"ACATE";"088001"
"087001";"ACI BONACCORSI";"CATANIA";;"CTEE85504P";"ACI BONACCORSI";"CTIC85500D";"IC P. G. M. ALLEGRA-VALVERDE";"225";"8";"12";"Primario";"2021-2022";"VALVERDE";"087052"
"087002";"ACI CASTELLO";"CATANIA";;"CTEE816011";"I.C. G. FALCONE";"CTIC81600V";"IC G. FALCONE - ACICASTELLO";"117";"10";"7";"Primario";"2021-2022";"ACI CASTELLO";"087002"
"087002";"ACI CASTELLO";"CATANIA";;"CTEE816022";"CANNIZZARO";"CTIC81600V";"IC G. FALCONE - ACICASTELLO";"88";"8";"5";"Primario";"2021-2022";"ACI CASTELLO";"087002"
"087002";"ACI CASTELLO";"CATANIA";;"CTEE816055";"I.C. G. VERGA";"CTIC81600V";"IC G. FALCONE - ACICASTELLO";"124";"6";"7";"Primario";"2021-2022";"ACI CASTELLO";"087002"
"087002";"ACI CASTELLO";"CATANIA";;"CTEE816066";"IC R. RIMINI ACI CASTELLO";"CTIC81600V";"IC G. FALCONE - ACICASTELLO";"70";"5";"5";"Primario";"2021-2022";"ACI CASTELLO";"087002"
"087002";"ACI CASTELLO";"CATANIA";;"CTEE816077";"R. RIMINI";"CTIC81600V";"IC G. FALCONE - ACICASTELLO";"55";"8";"4";"Primario";"2021-2022";"ACI CASTELLO";"087002"
"087003";"ACI CATENA";"CATANIA";;"CTEE036017";"CD E. ROSSI ACICATENA";"CTEE036006";"CD E. ROSSI ACICATENA";"256";"21";"13";"Primario";"2021-2022";"ACI CATENA";"087003"
"087003";"ACI CATENA";"CATANIA";;"CTEE03605B";"VIA MAIORANA";"CTEE036006";"CD E. ROSSI ACICATENA";"155";"21";"10";"Primario";"2021-2022";"ACI CATENA";"087003"
"087003";"ACI CATENA";"CATANIA";;"CTEE814019";"SCUOLA PRIMARIA T. ONOFRI";"CTIC814007";"IC SCANDURA ACI CATENA";"279";"17";"14";"Primario";"2021-2022";"ACI CATENA";"087003"
"087003";"ACI CATENA";"CATANIA";;"CTEE81402A";"VIA L.SCIASCIA";"CTIC814007";"IC SCANDURA ACI CATENA";"103";"1";"6";"Primario";"2021-2022";"ACI CATENA";"087003"
"087003";"ACI CATENA";"CATANIA";;"CTEE81403B";"VIA SOTTOTENENTE BARBAGALLO";"CTIC814007";"IC SCANDURA ACI CATENA";"174";"6";"9";"Primario";"2021-2022";"ACI CATENA";"087003"
"087003";"ACI CATENA";"CATANIA";;"CTEE815015";"I.C. F. GUGLIELMINO";"CTIC815003";"IC F.GUGLIELMINO ACICATENA";"176";"23";"10";"Primario";"2021-2022";"ACI CATENA";"087003"
"087003";"ACI CATENA";"CATANIA";;"CTEE815026";"PRIMARIA VIA TURI D'AGOSTINO";"CTIC815003";"IC F.GUGLIELMINO ACICATENA";"31";"2";"2";"Primario";"2021-2022";"ACI CATENA";"087003"
"087005";"ACI SANT'ANTONIO";"CATANIA";;"CTEE8AR01C";"CIRCOLO DIDATTICO";"CTIC8AR00A";"I - I.C. FABRIZIO DE ANDRE'";"167";"10";"8";"Primario";"2021-2022";"ACI SANT'ANTONIO";"087005"
"087005";"ACI SANT'ANTONIO";"CATANIA";;"CTEE8AR04G";"S.MARIA LA STELLA V.MONTALE 7";"CTIC8AR00A";"I - I.C. FABRIZIO DE ANDRE'";"49";"4";"3";"Primario";"2021-2022";"ACI SANT'ANTONIO";"087005"
"087005";"ACI SANT'ANTONIO";"CATANIA";;"CTEE8AR06N";"VILLAGGIO COSTANZO";"CTIC8AR00A";"I - I.C. FABRIZIO DE ANDRE'";"34";"3";"2";"Primario";"2021-2022";"ACI SANT'ANTONIO";"087005"
"087005";"ACI SANT'ANTONIO";"CATANIA";;"CTEE8AR07P";"VIA CANTAGALLO";"CTIC8AR00A";"I - I.C. FABRIZIO DE ANDRE'";"90";"5";"5";"Primario";"2021-2022";"ACI SANT'ANTONIO";"087005"
"087005";"ACI SANT'ANTONIO";"CATANIA";;"CTEE8AR08Q";"VIA DANTE ALIGHIERI";"CTIC8AR00A";"I - I.C. FABRIZIO DE ANDRE'";"44";"2";"2";"Primario";"2021-2022";"ACI SANT'ANTONIO";"087005"
"087005";"ACI SANT'ANTONIO";"CATANIA";;"CTEE8AR09R";"SCUOLA PRIMARIA VIA STAZZONE";"CTIC8AR00A";"I - I.C. FABRIZIO DE ANDRE'";"84";"3";"4";"Primario";"2021-2022";"ACI SANT'ANTONIO";"087005"
"087005";"ACI SANT'ANTONIO";"CATANIA";;"CTEE8AS01N";"CIRCONVALLAZIONE";"CTIC8AS00G";"II - I.C. A. DE GASPERI";"228";"7";"11";"Primario";"2021-2022";"ACI SANT'ANTONIO";"087005"
"087005";"ACI SANT'ANTONIO";"CATANIA";;"CTEE8AS02P";"LAVINAIO";"CTIC8AS00G";"II - I.C. A. DE GASPERI";"72";"3";"5";"Primario";"2021-2022";"ACI SANT'ANTONIO";"087005"
"087004";"ACIREALE";"CATANIA";;"CTEE81801L";"SCUOLA PRIMARIA SAN MICHELE";"CTIC81800E";"V - I.C. P.VASTA ACIREALE";"257";"18";"13";"Primario";"2021-2022";"ACIREALE";"087004"
"087004";"ACIREALE";"CATANIA";;"CTEE81901C";"SCUOLA PRIMARIA VIA R. MESSINA";"CTIC81900A";"VI - I.C. GIOV. XXIII ACIREALE";"52";"7";"4";"Primario";"2021-2022";"ACIREALE";"087004"
"087004";"ACIREALE";"CATANIA";;"CTEE81902D";"SCUOLA PRIMARIA VIA FIRENZE";"CTIC81900A";"VI - I.C. GIOV. XXIII ACIREALE";"112";"9";"7";"Primario";"2021-2022";"ACIREALE";"087004"
"087004";"ACIREALE";"CATANIA";;"CTEE81903E";"M.ALOSI - PIANO API";"CTIC81900A";"VI - I.C. GIOV. XXIII ACIREALE";"25";"0";"2";"Primario";"2021-2022";"ACIREALE";"087004"
"087004";"ACIREALE";"CATANIA";;"CTEE81904G";"S.D. SAVIO";"CTIC81900A";"VI - I.C. GIOV. XXIII ACIREALE";"68";"5";"4";"Primario";"2021-2022";"ACIREALE";"087004"
"087004";"ACIREALE";"CATANIA";;"CTEE81905L";"DON GIUSEPPE PANEBIANCO";"CTIC81900A";"VI - I.C. GIOV. XXIII ACIREALE";"38";"2";"3";"Primario";"2021-2022";"ACIREALE";"087004"
"087004";"ACIREALE";"CATANIA";;"CTEE830017";"SCUOLA PRIMARIA BALATELLE";"CTIC830005";"II -IC FUCCIO-LASPINA ACIREALE";"103";"3";"6";"Primario";"2021-2022";"ACIREALE";"087004"
"087004";"ACIREALE";"CATANIA";;"CTEE830028";"SCUOLA PRIM.VIA MONETARIO FLOR.";"CTIC830005";"II -IC FUCCIO-LASPINA ACIREALE";"180";"10";"10";"Primario";"2021-2022";"ACIREALE";"087004"
"087004";"ACIREALE";"CATANIA";;"CTEE830039";"SCUOLA PRIMARIA G. FANCIULLI";"CTIC830005";"II -IC FUCCIO-LASPINA ACIREALE";"207";"10";"11";"Primario";"2021-2022";"ACIREALE";"087004"
"087004";"ACIREALE";"CATANIA";;"CTEE8AT01D";"I I.C.ACIREALE PLESSO PASINI";"CTIC8AT00B";"I - I.C. VIA MARCH. S.GIULIANO";"143";"13";"9";"Primario";"2021-2022";"ACIREALE";"087004"
"087004";"ACIREALE";"CATANIA";;"CTEE8AT02E";"RACITI";"CTIC8AT00B";"I - I.C. VIA MARCH. S.GIULIANO";"204";"14";"10";"Primario";"2021-2022";"ACIREALE";"087004"
"087004";"ACIREALE";"CATANIA";;"CTEE8AT03G";"SCUOLA PRIMARIA S.M. AMMALATI";"CTIC8AT00B";"I - I.C. VIA MARCH. S.GIULIANO";"63";"6";"5";"Primario";"2021-2022";"ACIREALE";"087004"
"087004";"ACIREALE";"CATANIA";;"CTEE8AU019";"SCILLICHENTI";"CTIC8AU007";"III - I.C. RODARI ACIREALE";"42";"3";"3";"Primario";"2021-2022";"ACIREALE";"087004"
"087004";"ACIREALE";"CATANIA";;"CTEE8AU02A";"STAZZO";"CTIC8AU007";"III - I.C. RODARI ACIREALE";"79";"2";"5";"Primario";"2021-2022";"ACIREALE";"087004"
"087004";"ACIREALE";"CATANIA";;"CTEE8AU03B";"M.L.KING - GUARDIA";"CTIC8AU007";"III - I.C. RODARI ACIREALE";"95";"6";"5";"Primario";"2021-2022";"ACIREALE";"087004"
"087004";"ACIREALE";"CATANIA";;"CTEE8AU04C";"S.GIOVANNI BOSCO";"CTIC8AU007";"III - I.C. RODARI ACIREALE";"55";"6";"5";"Primario";"2021-2022";"ACIREALE";"087004"
"087004";"ACIREALE";"CATANIA";;"CTEE8AU05D";"S.MARIA LORETO";"CTIC8AU007";"III - I.C. RODARI ACIREALE";"95";"3";"6";"Primario";"2021-2022";"ACIREALE";"087004"
"087004";"ACIREALE";"CATANIA";;"CTEE8AU06E";"SCUOLA PRIMARIA SANTA TECLA";"CTIC8AU007";"III - I.C. RODARI ACIREALE";"29";"2";"2";"Primario";"2021-2022";"ACIREALE";"087004"
"087004";"ACIREALE";"CATANIA";;"CTEE8AV026";"CD. SCIASCIA ACIREALE";"CTIC8AV003";"IV - I.C. GALILEI ACIREALE";"338";"17";"18";"Primario";"2021-2022";"ACIREALE";"087004"
"085001";"ACQUAVIVA PLATANI";"CALTANISSETTA";;"CLEE81903D";"S.G.BOSCO-ACQUAVIVA PLATANI";"CLIC819009";"P. EMILIANI GIUDICI MUSSOMELI";"9";"3";"1";"Primario";"2021-2022";"MUSSOMELI";"085012"
"083107";"ACQUEDOLCI";"MESSINA";;"MEEE82601A";"ACQUEDOLCI";"MEIC826008";"ACQUEDOLCI";"194";"8";"11";"Primario";"2021-2022";"ACQUEDOLCI";"083107"
"087006";"ADRANO";"CATANIA";;"CTEE04201E";"C.D. S.GIUFFRIDA";"CTEE04200D";"I - CD SANTE GIUFFRIDA ADRANO";"466";"24";"21";"Primario";"2021-2022";"ADRANO";"087006"
"087006";"ADRANO";"CATANIA";;"CTEE04301A";"CD DON A. LA MELA ADRANO";"CTEE043009";"II - CD DON A. LA MELA ADRANO";"358";"27";"19";"Primario";"2021-2022";"ADRANO";"087006"
"087006";"ADRANO";"CATANIA";;"CTEE09001X";"C.D. III ADRANO";"CTEE09000V";"III CD S.NICOLO' POLITI ADRANO";"467";"14";"22";"Primario";"2021-2022";"ADRANO";"087006"
"087006";"ADRANO";"CATANIA";;"CTEE8A101T";"GIOBBE";"CTIC8A100Q";"GIUSEPPE GUZZARDI";"212";"11";"11";"Primario";"2021-2022";"ADRANO";"087006"
"087006";"ADRANO";"CATANIA";;"CTEE8A201N";"STAZIONE";"CTIC8A200G";"II- ISTITUTO COMPRENSIVO ADRANO";"313";"37";"17";"Primario";"2021-2022";"ADRANO";"087006"
"086001";"AGIRA";"ENNA";;"ENEE81901Q";"S. GIUSEPPE";"ENIC81900N";"G. GIUSTI SINOPOLI";"38";"6";"3";"Primario";"2021-2022";"AGIRA";"086001"
"086001";"AGIRA";"ENNA";;"ENEE81902R";"E. MORINA";"ENIC81900N";"G. GIUSTI SINOPOLI";"61";"8";"4";"Primario";"2021-2022";"AGIRA";"086001"
"086001";"AGIRA";"ENNA";;"ENEE81903T";"G. MARCONI";"ENIC81900N";"G. GIUSTI SINOPOLI";"229";"13";"13";"Primario";"2021-2022";"AGIRA";"086001"
"084001";"AGRIGENTO";"AGRIGENTO";;"AGEE820017";"QUADRIVIO";"AGIC820005";"IC - ANNA FRANK";"99";"2";"6";"Primario";"2021-2022";"AGRIGENTO";"084001"
"084001";"AGRIGENTO";"AGRIGENTO";;"AGEE820028";"PAL. PICARELLA";"AGIC820005";"IC - ANNA FRANK";"102";"0";"7";"Primario";"2021-2022";"AGRIGENTO";"084001"
"084001";"AGRIGENTO";"AGRIGENTO";;"AGEE820039";"FRAZ. MONTAPERTO";"AGIC820005";"IC - ANNA FRANK";"11";"0";"1";"Primario";"2021-2022";"AGRIGENTO";"084001"
"084001";"AGRIGENTO";"AGRIGENTO";;"AGEE82004A";"FRAZ GIARDINA GALLOTTI";"AGIC820005";"IC - ANNA FRANK";"49";"1";"4";"Primario";"2021-2022";"AGRIGENTO";"084001"
"084001";"AGRIGENTO";"AGRIGENTO";;"AGEE82005B";"GIOVANNI VERGA";"AGIC820005";"IC - ANNA FRANK";"160";"6";"9";"Primario";"2021-2022";"AGRIGENTO";"084001"
"084001";"AGRIGENTO";"AGRIGENTO";;"AGEE82006C";"MASSIMILIANO MARIA KOLBE";"AGIC820005";"IC - ANNA FRANK";"61";"2";"4";"Primario";"2021-2022";"AGRIGENTO";"084001"
"084001";"AGRIGENTO";"AGRIGENTO";;"AGEE821013";"GARIBALDI";"AGIC821001";"IC - AGRIGENTO CENTRO";"162";"5";"9";"Primario";"2021-2022";"AGRIGENTO";"084001"
"084001";"AGRIGENTO";"AGRIGENTO";;"AGEE821024";"LAURICELLA";"AGIC821001";"IC - AGRIGENTO CENTRO";"220";"13";"13";"Primario";"2021-2022";"AGRIGENTO";"084001"
"084001";"AGRIGENTO";"AGRIGENTO";;"AGEE82202X";"ESSENETO";"AGIC82200R";"IC - ESSENETO";"400";"9";"20";"Primario";"2021-2022";"AGRIGENTO";"084001"
"084001";"AGRIGENTO";"AGRIGENTO";;"AGEE82402G";"GIOVANNI XXIII - DI GIOVANNI";"AGIC82400C";"IC - S. QUASIMODO";"77";"6";"5";"Primario";"2021-2022";"AGRIGENTO";"084001"
"084001";"AGRIGENTO";"AGRIGENTO";;"AGEE82405P";"GIUSEPPE FAVA";"AGIC82400C";"IC - S. QUASIMODO";"120";"5";"7";"Primario";"2021-2022";"AGRIGENTO";"084001"
"084001";"AGRIGENTO";"AGRIGENTO";;"AGEE82406Q";"S.G.BOSCO";"AGIC82400C";"IC - S. QUASIMODO";"102";"6";"7";"Primario";"2021-2022";"AGRIGENTO";"084001"
